"Date","Atlantic","Bergen","Burlington","Camden","Cape May","Cumberland","Essex","Gloucester","Hudson","Hunterdon","Mercer","Middlesex","Monmouth","Morris","Ocean","Passaic","Salem","Somerset","Sussex","Union","Warren"
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,7,2,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0
2020-03-11,0,11,2,1,0,0,0,0,1,0,0,2,4,0,0,1,0,0,0,1,0
2020-03-12,0,13,2,1,0,0,1,0,1,0,0,2,5,1,0,1,0,1,0,1,0
2020-03-13,0,15,3,1,0,0,3,0,4,0,1,6,8,3,1,2,0,1,0,1,0
2020-03-14,0,25,3,2,0,0,7,0,5,0,1,10,8,3,1,2,0,1,0,1,0
2020-03-15,0,25,3,2,0,0,7,0,5,1,1,10,8,3,1,2,0,1,0,3,0
2020-03-16,0,61,5,3,0,0,20,0,19,1,6,17,14,6,3,8,0,5,0,8,0
2020-03-17,0,84,5,3,0,0,32,2,24,4,9,22,22,7,4,10,0,7,0,15,0
2020-03-18,3,114,10,8,0,0,45,2,34,6,15,40,32,19,8,18,0,16,0,26,1
2020-03-19,3,195,14,13,1,0,63,2,55,8,20,64,43,26,33,38,0,21,2,29,3
2020-03-20,3,249,17,11,1,1,73,5,66,11,22,76,53,35,49,49,0,28,3,43,3
2020-03-21,4,363,21,15,2,1,107,6,97,14,30,116,92,64,62,67,0,34,6,81,5
2020-03-22,5,457,26,22,2,1,172,8,126,16,40,147,158,119,102,95,1,51,12,124,9
2020-03-23,6,609,36,33,2,1,273,13,190,18,50,210,238,177,144,141,1,67,15,189,12
2020-03-24,6,701,42,51,3,2,342,19,234,25,58,277,288,204,180,216,1,102,18,246,15
2020-03-25,12,819,48,61,4,3,381,23,260,25,82,316,313,223,222,255,1,117,27,262,18
2020-03-26,10,1206,64,73,6,4,609,33,441,39,111,505,501,315,389,399,2,179,49,432,31
2020-03-27,14,1505,88,95,7,9,826,40,594,52,131,640,634,391,484,484,3,222,65,519,38
2020-03-28,17,1838,115,123,7,11,1086,51,771,61,168,808,781,442,624,608,3,258,81,742,51
2020-03-29,24,2169,142,163,9,11,1227,72,974,66,202,938,870,566,759,831,3,295,93,896,56
2020-03-30,29,2482,178,200,9,12,1564,89,1314,79,249,1123,1030,720,874,1091,3,349,113,1213,68
2020-03-31,31,2909,202,228,12,18,1900,114,1606,97,268,1277,1140,841,1022,1294,12,413,132,1418,76
2020-04-01,40,3494,255,289,22,27,2262,149,1910,117,333,1493,1301,942,1209,1494,19,472,158,1661,96
2020-04-02,50,4099,294,343,34,31,2617,169,2270,130,386,1766,1458,1082,1371,1750,20,549,179,2010,116
2020-04-03,72,4866,367,406,44,36,3067,183,2835,148,484,2125,1743,1298,1685,2216,25,641,210,2487,149
2020-04-04,98,5760,469,481,50,40,3584,215,3491,171,586,2578,2065,1618,2003,2856,25,765,236,2916,182
2020-04-05,121,6187,547,556,77,54,4082,248,3924,189,654,2950,2354,1800,2177,3227,26,833,267,3216,195
2020-04-06,132,6862,646,645,85,64,4493,279,4395,211,740,3263,2545,1956,2374,3756,29,902,292,3685,215
2020-04-07,144,7533,733,736,94,71,5078,311,4949,234,837,3717,2770,2239,2641,4104,31,1033,331,4368,255
2020-04-08,168,7874,801,838,100,80,5598,340,5437,255,992,4156,3038,2468,2856,4372,36,1160,357,4831,289
2020-04-09,191,8343,883,990,109,111,6069,413,5879,286,1161,4628,3248,2645,3093,4690,43,1335,392,5203,319
2020-04-10,211,8928,954,1072,116,138,6580,447,6411,293,1282,5060,3496,2771,3269,5017,46,1523,413,5575,337
2020-04-11,230,9362,1031,1180,129,154,7007,487,6851,301,1434,5406,3651,2925,3403,5295,56,1642,456,5865,362
2020-04-12,253,9784,1095,1270,145,165,7410,532,7469,314,1567,5693,3785,3099,3554,5590,61,1732,483,6180,395
2020-04-13,267,10092,1155,1401,164,187,7634,566,7879,325,1646,5987,3875,3225,3593,5950,66,1809,508,6636,416
2020-04-14,284,10426,1207,1477,169,201,8212,587,8242,349,1731,6313,4003,3424,3833,6438,73,1911,535,7265,442
2020-04-15,322,10848,1261,1587,178,210,8579,602,8511,356,1856,6576,4122,3525,4016,6750,84,2001,551,7438,468
2020-04-16,344,11409,1326,1734,186,223,9084,624,9165,373,2037,6994,4299,3701,4272,7317,95,2103,578,7904,501
2020-04-17,370,11863,1366,1807,189,263,9672,664,9636,385,2123,7308,4414,3822,4424,7604,102,2195,591,8429,521
2020-04-18,382,12163,1456,1918,199,272,9901,683,9956,391,2215,7624,4528,3984,4548,7936,105,2283,626,8959,543
2020-04-19,398,12639,1587,2131,206,308,10304,737,10486,407,2395,8017,4669,4136,4648,8288,116,2384,659,9609,592
2020-04-20,410,13011,1663,2255,212,338,10729,770,11150,419,2591,8346,4787,4236,4868,8479,120,2488,680,9972,613
